location,per change,abs change,avg,standard dev
the middle of nowhere,341.520467836,116.8,34.2,28.0551837159
québec,inf,84.0,0.0,0.0
the matrix,inf,72.0,0.0,0.0
chesapeake virginia,inf,51.0,0.0,0.0
united states ,272.14532872,524.333333333,192.666666667,29.2886022579
scottsdale arizona,inf,74.0,0.0,0.0
somewhere only we know,107.705677868,123.933333333,115.066666667,17.1171129445
miami fl,335.888122049,3082.33333333,917.666666667,193.066712707
where u wanna b,inf,209.0,0.0,0.0
fukuoka,-2.2834116857,-2.26666666667,99.2666666667,21.980193104
gainesville fl,680.722891566,376.666666667,55.3333333333,31.5545383248
saint louis ,4201.88679245,296.933333333,7.06666666667,18.0165356147
indy,1602.09580838,356.733333333,22.2666666667,40.8108917924
日本国,118.67881549,34.7333333333,29.2666666667,27.4018653055
tokyo ,55.9584712609,247.933333333,443.066666667,38.041147313
greenwood sc,inf,60.0,0.0,0.0
riyadh,30.325195216,409.066666667,1348.93333333,628.986853775
trinidad & tobago,1468.80733945,106.733333333,7.26666666667,18.5704663975
corpus christi texas,1497.82608696,137.8,9.2,23.4810561943
canada ontario,inf,57.0,0.0,0.0
where in the world are you?,170.676691729,121.066666667,70.9333333333,16.707150831
nj ,4573.07692308,158.533333333,3.46666666667,12.9710789408
boise id,inf,240.0,0.0,0.0
pg county,inf,62.0,0.0,0.0
bikini bottom,112.598425197,314.6,279.4,42.4606484485
copenhagen,inf,63.0,0.0,0.0
michigan ,433.226581265,360.733333333,83.2666666667,31.4037506606
south,257.513436267,5526.06666667,2145.93333333,310.908232263
irving texas,528.378378378,78.2,14.8,24.5823785125
bandung - indonesia,21.6216216216,12.2666666667,56.7333333333,24.6940388668
south of nowhere,inf,61.0,0.0,0.0
canberra australia,2525.0,94.2666666667,3.73333333333,13.968854244
cali-colombia,28.3333333333,17.0,60.0,54.1602560309
richmond,556.699576869,1315.66666667,236.333333333,63.0509494157
flint michigan,inf,52.0,0.0,0.0
in your dreams,216.84981685,473.6,218.4,50.4219528909
lancaster sc,inf,55.0,0.0,0.0
north texas,inf,85.0,0.0,0.0
singapore ,47.1271038886,54.1333333333,114.866666667,10.2623367493
brunei,135.491071429,121.4,89.6,17.9807304264
d m [v],2171.42857143,101.333333333,4.66666666667,17.4610678049
