location,in_time,per change,abs change,avg,standard dev,main hr count
la,2012-07-30 13:00:00,7.71093206096,3477.8,45102.2,3171.28128049,48580
la,2012-08-12 08:00:00,5.00441055433,1355.9,27094.1,1003.96189669,28450
la,2012-08-10 12:00:00,9.07397421442,3516.9,38758.1,3486.47516698,42275
la,2012-08-10 06:00:00,34.7821813804,8493.6,24419.4,6975.23965466,32913
la,2012-07-28 03:00:00,87.5923997795,20657.8888889,23584.1111111,20425.8139043,44242
la,2012-08-11 15:00:00,10.7097549822,5808.2,54232.8,2014.95944376,60041
la,2012-08-03 13:00:00,8.11632069592,3659.3,45085.7,3152.65964068,48745
la,2012-08-10 15:00:00,7.00089130655,3809.5,54414.5,2409.89577575,58224
la,2012-08-11 16:00:00,12.9711915582,6667.4,51401.6,2046.35198341,58069
la,2012-08-12 21:00:00,110.835344278,55403.125,49986.875,9458.58527262,105390
la,2012-08-12 23:00:00,30.2722504873,12539.75,41423.25,6679.39461609,53963
la,2012-07-27 22:00:00,43.3822434538,22215.125,51207.875,20536.0339187,73423
la,2012-08-13 01:00:00,35.25158277,12340.125,35005.875,5683.65567741,47346
la,2012-08-12 05:00:00,197.342155265,26276.7,13315.3,15543.9398355,39592
la,2012-08-11 17:00:00,4.88385726587,2274.3,46567.7,2105.61349967,48842
la,2012-08-13 02:00:00,61.5909496874,19395.375,31490.625,14654.8697362,50886
la,2012-08-01 11:00:00,12.2295255295,4002.1,32724.9,3006.29777135,36727
la,2012-07-27 20:00:00,52.138815011,24722.7777778,47417.2222222,12853.5677,72140
la,2012-08-11 04:00:00,205.323006355,29136.4545455,14190.5454545,18888.0731216,43327
la,2012-08-01 12:00:00,12.0176947653,4645.5,38655.5,3364.23049894,43301
la,2012-08-12 04:00:00,212.207808929,29966.6363636,14121.3636364,18779.5220109,44088
la,2012-07-27 10:00:00,9.43912885292,2957.6,31333.4,1642.72914383,34291
la,2012-08-11 05:00:00,161.280665888,22089.0,13696.0,16125.3492241,35785
la,2012-08-12 06:00:00,37.4885576714,9132.7,24361.3,6901.44044457,33494
la,2012-07-27 21:00:00,37.2663952291,20090.5,53910.5,19638.5719886,74001
la,2012-08-12 22:00:00,121.785214777,57578.375,47278.625,10401.9267078,104857
la,2012-07-27 09:00:00,8.40830597365,2366.4,28143.6,718.193038117,30510
la,2012-08-13 03:00:00,106.10239333,24604.5555556,23189.4444444,19983.7507886,47794
la,2012-08-03 03:00:00,103.290049083,24013.4444444,23248.5555556,20055.5269086,47262
la,2012-08-03 06:00:00,34.8518914403,8510.1,24417.9,6973.41112297,32928
la,2012-08-10 09:00:00,3.56172525047,1006.8,28267.2,965.778835966,29274
ma,2012-07-31 11:00:00,8.20348281368,1638.9,19978.1,1564.69335334,21617
ma,2012-08-11 03:00:00,96.6304180031,12519.2222222,12955.7777778,11319.2978755,25475
ma,2012-08-10 08:00:00,11.5354541871,1785.1,15474.9,521.492176356,17260
ma,2012-07-28 00:00:00,12.6241376821,2404.125,19043.875,1850.14063232,21448
ma,2012-07-27 23:00:00,29.2553604221,5655.5,19331.5,2435.16924463,24987
ma,2012-08-10 17:00:00,19.0430783287,4293.7,22547.3,1182.59088868,26841
ma,2012-08-03 04:00:00,200.402936341,15734.5454545,7851.45454545,10692.058985,23586
ma,2012-07-31 00:00:00,12.4205138301,2365.875,19048.125,1855.61118216,21414
ma,2012-08-10 11:00:00,10.5103177071,2095.4,19936.6,1514.361859,22032
ma,2012-08-10 05:00:00,193.687779444,14338.9,7403.1,8891.13611919,21742
ma,2012-07-27 19:00:00,4.98585449338,951.666666667,19087.3333333,843.048436726,20039
ma,2012-08-12 20:00:00,55.7093899237,12209.8888889,21917.1111111,3959.15079122,34127
ma,2012-08-10 16:00:00,17.1323883193,4629.0,27019.0,1961.15649554,31648
ma,2012-08-10 10:00:00,10.605937152,1952.5,18409.5,994.942435521,20362
ma,2012-08-10 04:00:00,238.973956288,18260.0,7641.0,10352.0924806,25901
ma,2012-08-03 05:00:00,152.376655813,11652.7,7647.3,9241.18229503,19300
ma,2012-08-10 07:00:00,9.86681058576,1535.7,15564.3,1020.23546792,17100
ma,2012-08-13 00:00:00,12.2708483695,2337.75,19051.25,1859.56760767,21389
ma,2012-08-10 13:00:00,9.70099307201,2681.5,27641.5,1491.32600393,30323
ma,2012-08-11 18:00:00,14.9070762399,2846.7,19096.3,2311.95553807,21943
ma,2012-08-10 12:00:00,11.7437350641,2697.9,22973.1,1886.3768685,25671
ma,2012-08-10 06:00:00,41.9936381289,5557.9,13235.1,4101.71167807,18793
ma,2012-08-11 15:00:00,7.30270112228,2272.9,31124.1,1690.28260655,33397
ma,2012-08-11 19:00:00,6.27455323316,1196.11111111,19062.8888889,811.313399433,20259
ma,2012-08-10 18:00:00,13.0768466674,2501.3,19127.7,2347.99182494,21629
ma,2012-08-10 15:00:00,9.86661170545,3063.8,31052.2,1572.68768673,34116
ma,2012-08-12 13:00:00,6.17535052796,1712.4,27729.6,1615.90712604,29442
ma,2012-08-12 16:00:00,10.5314279828,2862.4,27179.6,2247.05443637,30042
ma,2012-08-11 16:00:00,13.8262384129,3746.8,27099.2,2125.52910119,30846
ma,2012-08-12 21:00:00,83.8018680374,20602.375,24584.625,4098.82806231,45187
ma,2012-08-12 23:00:00,28.1270989408,5444.0,19355.0,2488.14941272,24799
ma,2012-07-27 22:00:00,40.8988536714,9601.875,23477.125,8164.1208718,33079
ma,2012-08-13 01:00:00,36.2692948473,6775.875,18682.125,3363.77352974,25458
ma,2012-08-10 14:00:00,9.63732140827,3051.6,31664.4,1470.48115935,34716
ma,2012-08-12 05:00:00,219.350883718,15922.9,7259.1,8642.60390681,23182
ma,2012-08-11 17:00:00,11.2070218398,2544.7,22706.3,1576.65050344,25251
ma,2012-08-13 02:00:00,59.0283752033,10206.375,17290.625,8316.07287031,27497
ma,2012-07-27 20:00:00,40.0236728945,8904.33333333,22247.6666667,4759.65318531,31152
ma,2012-08-12 15:00:00,11.7821069916,3652.3,30998.7,1453.97221775,34651
ma,2012-08-11 04:00:00,212.786038851,16560.3636364,7782.63636364,10587.617693,24343
ma,2012-08-01 12:00:00,9.5028128326,2187.5,23019.5,1945.53341015,25207
ma,2012-08-12 14:00:00,9.96332344551,3153.9,31655.1,1450.72522898,34809
ma,2012-08-12 04:00:00,228.572103516,17592.3636364,7696.63636364,10447.990901,25289
ma,2012-07-27 10:00:00,9.11783532781,1680.8,18434.2,1039.06350143,20115
ma,2012-08-11 05:00:00,166.486822444,12589.9,7562.1,9128.74474887,20152
ma,2012-08-12 03:00:00,95.1276956544,12341.4444444,12973.5555556,11338.8038083,25315
ma,2012-08-12 06:00:00,44.3974165802,5863.7,13207.3,4062.82145928,19071
