change,perc_change,total_count,location
203.06667,24.40901,1035,"bangalore, india"
1126.86667,24.29046,5766,new orleans
202.53333,24.27099,1037,"ottawa, on"
196.8,24.11174,1013,‘ÎÛµÂ
293.33333,24.08979,1511,salt lake city
1156.4,24.07862,5959,greece
677.2,24.05855,3492,new delhi
426.33333,23.96927,2205,"long island, new york"
260.4,23.96466,1347,"greenville, sc"
810.46667,23.91086,4200,rhode island
818.13333,23.90199,4241,"raleigh, nc"
245,23.87914,1271,"wilmington, nc"
1541.4,23.8437,8006,"philadelphia, pa"
677.6,23.72217,3534,ottawa
269.2,23.70136,1405,"tulsa, ok"
390.2,23.63702,2041,"san jose, ca"
1160.66667,23.51273,6097,"nashville, tn"
417.26667,23.51151,2192,"denver, colorado"
225.13333,23.30895,1191,"birmingham, alabama"
215.26667,23.27878,1140,"lincoln, ne"
232.93333,23.24529,1235,uptown
636.93333,23.2367,3378,ciudad de mÌ©xico
335.2,23.21651,1779,"syracuse, ny"
264.66667,23.14869,1408,"long beach, ca"
364.13333,23.06296,1943,"edinburgh, scotland"
408.73333,22.99786,2186,"hollywood, ca"
244.6,22.95851,1310,"honolulu, hawaii"
195.06667,22.8701,1048,"ann arbor, mi"
237.73333,22.85311,1278,"columbia, mo"
915.93333,22.79537,4934,stockholm
1190,22.77948,6414,"san diego, ca"
1895.13333,22.77567,10216,ny
470.73333,22.7598,2539,"new orleans, la"
347.2,22.68095,1878,"baton rouge, la"
214.06667,22.63021,1160,wv
227.66667,22.60093,1235,staten island
1008.8,22.52188,5488,"las vegas, nv"
383.33333,22.5137,2086,"vancouver, canada"
203.46667,22.46926,1109,hermosillo
282.53333,22.41498,1543,belgrade
948.93333,22.38543,5188,southern california
404.86667,22.37904,2214,austin
311.2,22.34348,1704,perth
188.33333,22.29676,1033,tÌ_rkiye/istanbul
228.53333,22.28579,1254,washington state
285.33333,22.28006,1566,nyc 
911.4,22.23686,5010,"toronto, on"
188.66667,22.18738,1039,"des moines, iowa"
413.33333,22.1785,2277,syria
698.86667,22.1642,3852,mississippi
195.53333,22.13251,1079,"aberdeen, scotland"
303.26667,22.09218,1676,"fort worth, tx"
630.2,22.06737,3486,san salvador
210.4,22.04065,1165,knoxville
